orderid,orderdate,customerid,agegroup,gender,city,devicetype,acquisitionchannel,customersegment,productid,productname,category,subcategory,brand,price,cost,quantity,discount,shippingcost,paymentmethod,orderstatus,deliverydays,revenue,profit,rating,promocodeused,reviewcount,agecategory
O00001,7/20/2025,C1008,18-24,Male,Cologne,Mobile,Organic Search,Returning,P00001,Slim fit skirts - beige,Clothing,Skirts,JDY,62.64,30.81,1,24,4.26,Google Pay,Delivered,2,47.61,12.54,1,Yes,74,young
O00002,4/8/2025,C1329,45-54,Male,Stuttgart,Desktop,Organic Search,VIP,P00002,Slim fit t-shirts & tops - blue,Clothing,T-shirts & tops,JDY,52.7,31.19,2,7,2.09,PayPal,Delivered,5,98.02,33.55,3,Yes,0,older adult
O00003,7/14/2024,C1007,25-34,Male,Frankfurt am Main,Desktop,Direct,New,P00003,Classic jeans - navy,Clothing,Jeans,Noisy May,119.78,66.55,1,0,0.3,PayPal,Delivered,2,119.78,52.93,4,No,148,adult
O00004,6/9/2024,C1847,35-44,Female,Stuttgart,Mobile,Organic Search,New,P00004,Printed sneakers - red,Shoes,Sneakers,Adidas,102.23,61.55,1,0,1.6,PayPal,Processing,1,102.23,39.08,3,No,0,middle-aged
O00005,3/12/2025,C1196,18-24,Male,Dresden,Tablet,Organic Search,Returning,P00005,Cotton sneakers - black,Shoes,Sneakers,Vans,80.47,50.52,2,23,3.7,PayPal,Delivered,3,123.92,19.18,1,Yes,147,young
O00006,7/18/2025,C1684,25-34,Male,Stuttgart,Mobile,Organic Search,New,P00006,Classic beach shoes - blue,Shoes,Beach shoes,Adidas,56.26,27.55,1,24,0.46,Credit Card,Delivered,2,42.76,14.75,5,Yes,136,adult
O00007,4/26/2024,C1564,18-24,Female,Berlin,Mobile,Direct,VIP,P00007,Oversized tennis - white,Sports,Tennis,Wilson,75.14,46.1,1,26,1.04,PayPal,Shipped,5,55.6,8.46,3,Yes,0,young
O00008,9/13/2025,C1897,25-34,Female,Essen,Mobile,Direct,New,P00008,Padded underwear - navy,Clothing,Underwear,Only,11.55,6.56,1,0,2.21,Debit Card,Delivered,3,11.55,2.78,5,No,21,adult
O00009,3/1/2025,C1483,45-54,Female,Frankfurt am Main,Mobile,Paid Advertising,Returning,P00009,Classic sneakers - white,Shoes,Sneakers,Puma,86.95,56.08,1,5,0.85,Credit Card,Delivered,7,82.6,25.67,3,Yes,59,older adult
O00010,12/31/2024,C1476,18-24,Male,Essen,Mobile,Social Media,New,P00010,Leather gloves - pink,Accessories,Gloves,Nike,54.89,27.21,1,0,0.69,Gift Card,Returned,0,54.89,26.99,3,No,0,young
