Table Name,Table Description,Column Name,Column Description,Column Data Type,Column Usage,is_categorical
zalando_dummy_dataset,"Zalando sales transactions across major German cities, covering product, customer, pricing and transactional details for women's fashion items. Used to analyze consumer behavior, seasonal trends, marketing performance and profitability.",OrderID,Unique identifier for each order.,object,Reference ID for transaction tracking; joins with other transactional data.,FALSE
zalando_dummy_dataset,"Zalando sales transactions across major German cities, covering product, customer, pricing and transactional details for women's fashion items. Used to analyze consumer behavior, seasonal trends, marketing performance and profitability.",OrderDate,Date when the order was placed (format: M/D/YYYY).,object (date),"Temporal analyses (seasonality, trends); time-based cohort analysis.",FALSE
zalando_dummy_dataset,"Zalando sales transactions across major German cities, covering product, customer, pricing and transactional details for women's fashion items. Used to analyze consumer behavior, seasonal trends, marketing performance and profitability.",CustomerID,Unique identifier for each customer.,object,Links transactions to customers; used for cohort and lifetime value analyses.,FALSE
zalando_dummy_dataset,"Zalando sales transactions across major German cities, covering product, customer, pricing and transactional details for women's fashion items. Used to analyze consumer behavior, seasonal trends, marketing performance and profitability.",AgeGroup,"Customer age group (e.g., 18-24, 25-34).",object,Demographic segmentation and marketing targeting.,TRUE
zalando_dummy_dataset,"Zalando sales transactions across major German cities, covering product, customer, pricing and transactional details for women's fashion items. Used to analyze consumer behavior, seasonal trends, marketing performance and profitability.",Gender,"Customer gender (e.g., Male, Female, Other).",object,Demographic analysis and personalized marketing.,TRUE
zalando_dummy_dataset,"Zalando sales transactions across major German cities, covering product, customer, pricing and transactional details for women's fashion items. Used to analyze consumer behavior, seasonal trends, marketing performance and profitability.",City,Customer's city (top German cities).,object,Geographic segmentation and location-based trends.,TRUE
zalando_dummy_dataset,"Zalando sales transactions across major German cities, covering product, customer, pricing and transactional details for women's fashion items. Used to analyze consumer behavior, seasonal trends, marketing performance and profitability.",DeviceType,"Type of device used to place the order (Mobile, Desktop, Tablet).",object,Understanding device preferences and optimizing user experience.,TRUE
zalando_dummy_dataset,"Zalando sales transactions across major German cities, covering product, customer, pricing and transactional details for women's fashion items. Used to analyze consumer behavior, seasonal trends, marketing performance and profitability.",AcquisitionChannel,"Marketing or acquisition channel that led to the purchase (e.g., Organic, Paid Search, Email, Social).",object,Evaluates marketing effectiveness and channel ROI.,TRUE
zalando_dummy_dataset,"Zalando sales transactions across major German cities, covering product, customer, pricing and transactional details for women's fashion items. Used to analyze consumer behavior, seasonal trends, marketing performance and profitability.",CustomerSegment,"Classification of the customer's engagement level (New, Returning, Loyal).",object,Customer lifecycle analysis and retention strategies.,TRUE
zalando_dummy_dataset,"Zalando sales transactions across major German cities, covering product, customer, pricing and transactional details for women's fashion items. Used to analyze consumer behavior, seasonal trends, marketing performance and profitability.",ProductID,Unique identifier for each product.,object,Reference for product-level analysis and inventory management.,FALSE
zalando_dummy_dataset,"Zalando sales transactions across major German cities, covering product, customer, pricing and transactional details for women's fashion items. Used to analyze consumer behavior, seasonal trends, marketing performance and profitability.",ProductName,Name of the product purchased.,object,Product catalog reference; used for sales and merchandising analysis.,TRUE
zalando_dummy_dataset,"Zalando sales transactions across major German cities, covering product, customer, pricing and transactional details for women's fashion items. Used to analyze consumer behavior, seasonal trends, marketing performance and profitability.",Category,"Broad category of the product (e.g., Women Clothing, Women Shoes, Accessories).",object,Top-level grouping for sales mix and assortment planning.,TRUE
zalando_dummy_dataset,"Zalando sales transactions across major German cities, covering product, customer, pricing and transactional details for women's fashion items. Used to analyze consumer behavior, seasonal trends, marketing performance and profitability.",SubCategory,"Specific sub-category within the product category (e.g., Dresses, Boots, Handbags).",object,Granular product-level insights and demand forecasting.,TRUE
zalando_dummy_dataset,"Zalando sales transactions across major German cities, covering product, customer, pricing and transactional details for women's fashion items. Used to analyze consumer behavior, seasonal trends, marketing performance and profitability.",Brand,Brand or label of the product.,object,Brand performance analysis and vendor negotiations.,TRUE
zalando_dummy_dataset,"Zalando sales transactions across major German cities, covering product, customer, pricing and transactional details for women's fashion items. Used to analyze consumer behavior, seasonal trends, marketing performance and profitability.",Price,Selling price per unit before any discounts (in EUR).,float64,Pricing strategy analysis and revenue forecasting.,FALSE
zalando_dummy_dataset,"Zalando sales transactions across major German cities, covering product, customer, pricing and transactional details for women's fashion items. Used to analyze consumer behavior, seasonal trends, marketing performance and profitability.",Cost,Cost of goods sold per unit (in EUR).,float64,Margin and profitability calculations.,FALSE
zalando_dummy_dataset,"Zalando sales transactions across major German cities, covering product, customer, pricing and transactional details for women's fashion items. Used to analyze consumer behavior, seasonal trends, marketing performance and profitability.",Quantity,Number of units purchased in the order.,int64,Demand estimation and inventory planning.,FALSE
zalando_dummy_dataset,"Zalando sales transactions across major German cities, covering product, customer, pricing and transactional details for women's fashion items. Used to analyze consumer behavior, seasonal trends, marketing performance and profitability.",Discount,"Discount applied to the order as a percentage (e.g., 20 = 20%).",int64,Promotional effectiveness and margin impact analysis.,FALSE
zalando_dummy_dataset,"Zalando sales transactions across major German cities, covering product, customer, pricing and transactional details for women's fashion items. Used to analyze consumer behavior, seasonal trends, marketing performance and profitability.",ShippingCost,Shipping cost incurred for the order (in EUR).,float64,Logistics cost analysis and profitability.,FALSE
zalando_dummy_dataset,"Zalando sales transactions across major German cities, covering product, customer, pricing and transactional details for women's fashion items. Used to analyze consumer behavior, seasonal trends, marketing performance and profitability.",PaymentMethod,"Payment method used by the customer (e.g., Credit Card, PayPal, Klarna).",object,Payment preferences and risk management.,TRUE
zalando_dummy_dataset,"Zalando sales transactions across major German cities, covering product, customer, pricing and transactional details for women's fashion items. Used to analyze consumer behavior, seasonal trends, marketing performance and profitability.",OrderStatus,"Current status of the order (e.g., Delivered, Returned, Cancelled).",object,Order fulfilment and return rate analysis.,TRUE
zalando_dummy_dataset,"Zalando sales transactions across major German cities, covering product, customer, pricing and transactional details for women's fashion items. Used to analyze consumer behavior, seasonal trends, marketing performance and profitability.",DeliveryDays,Number of days taken to deliver the product.,int64,Supply chain performance and customer satisfaction.,FALSE
zalando_dummy_dataset,"Zalando sales transactions across major German cities, covering product, customer, pricing and transactional details for women's fashion items. Used to analyze consumer behavior, seasonal trends, marketing performance and profitability.",Revenue,Gross revenue from the order after discount but before deducting cost and shipping (in EUR).,float64,Top-line performance metrics and revenue analysis.,FALSE
zalando_dummy_dataset,"Zalando sales transactions across major German cities, covering product, customer, pricing and transactional details for women's fashion items. Used to analyze consumer behavior, seasonal trends, marketing performance and profitability.",Profit,Net profit from the order after subtracting cost of goods and shipping (in EUR).,float64,Bottom-line profitability analysis.,FALSE
zalando_dummy_dataset,"Zalando sales transactions across major German cities, covering product, customer, pricing and transactional details for women's fashion items. Used to analyze consumer behavior, seasonal trends, marketing performance and profitability.",Rating,Customer rating of the product on a scale from 1 to 5.,int64,Customer satisfaction and product quality assessment.,FALSE
zalando_dummy_dataset,"Zalando sales transactions across major German cities, covering product, customer, pricing and transactional details for women's fashion items. Used to analyze consumer behavior, seasonal trends, marketing performance and profitability.",PromoCodeUsed,Indicates whether a promotional code was used (Yes/No).,object,Marketing campaigns effectiveness and customer incentive usage.,TRUE
zalando_dummy_dataset,"Zalando sales transactions across major German cities, covering product, customer, pricing and transactional details for women's fashion items. Used to analyze consumer behavior, seasonal trends, marketing performance and profitability.",ReviewCount,Number of product reviews associated with the order.,int64,Popularity and social proof measurements.,FALSE
